country.value,indicator,date,value,countryiso3code
Brazil,NY.GDP.MKTP.KD.ZG,2000,4.38794944745618,BRA
Brazil,FP.CPI.TOTL.ZG,2000,7.04414105947266,BRA
Brazil,SL.UEM.TOTL.ZS,2000,10.889,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2000,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2000,-4.0477413019387,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2001,1.38989640095637,BRA
Brazil,FP.CPI.TOTL.ZG,2001,6.84035902487523,BRA
Brazil,SL.UEM.TOTL.ZS,2001,10.649,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2001,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2001,-4.44478653179819,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2002,3.05346185909312,BRA
Brazil,FP.CPI.TOTL.ZG,2002,8.45016437708331,BRA
Brazil,SL.UEM.TOTL.ZS,2002,10.641,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2002,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2002,-1.84525901678299,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2003,1.14082899824888,BRA
Brazil,FP.CPI.TOTL.ZG,2003,14.7149197228147,BRA
Brazil,SL.UEM.TOTL.ZS,2003,11.168,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2003,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2003,0.392877183707379,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2004,5.75996463670954,BRA
Brazil,FP.CPI.TOTL.ZG,2004,6.59718509985963,BRA
Brazil,SL.UEM.TOTL.ZS,2004,10.072,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2004,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2004,1.33863064799445,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2005,3.20213206130431,BRA
Brazil,FP.CPI.TOTL.ZG,2005,6.86953720898964,BRA
Brazil,SL.UEM.TOTL.ZS,2005,10.551,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2005,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2005,1.30988466560485,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2006,3.96198871122617,BRA
Brazil,FP.CPI.TOTL.ZG,2006,4.18356812896909,BRA
Brazil,SL.UEM.TOTL.ZS,2006,9.692,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2006,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2006,0.9727105230346,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2007,6.06987060678338,BRA
Brazil,FP.CPI.TOTL.ZG,2007,3.64127299102652,BRA
Brazil,SL.UEM.TOTL.ZS,2007,9.28,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2007,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2007,-0.19709696108555,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2008,5.09419544658736,BRA
Brazil,FP.CPI.TOTL.ZG,2008,5.67859390284168,BRA
Brazil,SL.UEM.TOTL.ZS,2008,8.268,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2008,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2008,-2.09933784786717,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2009,-0.125812002161169,BRA
Brazil,FP.CPI.TOTL.ZG,2009,4.88803479876799,BRA
Brazil,SL.UEM.TOTL.ZS,2009,9.419,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2009,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2009,-1.7593578735281,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2010,7.52822581815364,BRA
Brazil,FP.CPI.TOTL.ZG,2010,5.03872690108075,BRA
Brazil,SL.UEM.TOTL.ZS,2010,8.422,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2010,61.3187804643039,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2010,-3.92594604454763,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2011,3.97442307944702,BRA
Brazil,FP.CPI.TOTL.ZG,2011,6.6364496221309,BRA
Brazil,SL.UEM.TOTL.ZS,2011,7.578,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2011,59.3416583028164,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2011,-3.19461831905473,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2012,1.92117598576537,BRA
Brazil,FP.CPI.TOTL.ZG,2012,5.40349914036997,BRA
Brazil,SL.UEM.TOTL.ZS,2012,7.251,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2012,59.8494900007969,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2012,-3.75941611687375,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2013,3.00482266944432,BRA
Brazil,FP.CPI.TOTL.ZG,2013,6.20431066640101,BRA
Brazil,SL.UEM.TOTL.ZS,2013,7.071,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2013,57.2284093845516,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2013,-3.57422079622864,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2014,0.503955740242247,BRA
Brazil,FP.CPI.TOTL.ZG,2014,6.32904015516139,BRA
Brazil,SL.UEM.TOTL.ZS,2014,6.755,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2014,58.4572711058609,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2014,-4.4988303801852,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2015,-3.54576339269425,BRA
Brazil,FP.CPI.TOTL.ZG,2015,9.02990102416136,BRA
Brazil,SL.UEM.TOTL.ZS,2015,8.538,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2015,67.5375540310909,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2015,-3.51839166799859,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2016,-3.27591690782192,BRA
Brazil,FP.CPI.TOTL.ZG,2016,8.73914352329393,BRA
Brazil,SL.UEM.TOTL.ZS,2016,11.58,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2016,73.4188038014782,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2016,-1.700113396765,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2017,1.32286905404399,BRA
Brazil,FP.CPI.TOTL.ZG,2017,3.44637335032669,BRA
Brazil,SL.UEM.TOTL.ZS,2017,12.792,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2017,83.669202649666,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2017,-1.22429925769002,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2018,1.783666761634,BRA
Brazil,FP.CPI.TOTL.ZG,2018,3.66485028376729,BRA
Brazil,SL.UEM.TOTL.ZS,2018,12.329,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2018,86.6078841211512,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2018,-2.80752008594698,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2019,1.22077782360842,BRA
Brazil,FP.CPI.TOTL.ZG,2019,3.73297621216894,BRA
Brazil,SL.UEM.TOTL.ZS,2019,11.936,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2019,92.5652531945418,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2019,-3.46989581435142,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2020,-3.2767587964736,BRA
Brazil,FP.CPI.TOTL.ZG,2020,3.21176803803376,BRA
Brazil,SL.UEM.TOTL.ZS,2020,13.697,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2020,98.7098819468714,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2020,-1.687788053241,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2021,4.76260437908608,BRA
Brazil,FP.CPI.TOTL.ZG,2021,8.30165975585673,BRA
Brazil,SL.UEM.TOTL.ZS,2021,13.158,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2021,85.0115036768016,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2021,-2.4187656822737,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2022,3.01669435393015,BRA
Brazil,FP.CPI.TOTL.ZG,2022,9.28010608956873,BRA
Brazil,SL.UEM.TOTL.ZS,2022,9.231,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2022,79.1023218878495,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2022,-2.15975658541159,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2023,3.24165532906981,BRA
Brazil,FP.CPI.TOTL.ZG,2023,4.59356282283204,BRA
Brazil,SL.UEM.TOTL.ZS,2023,7.947,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2023,83.0317498523878,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2023,-1.27481070395724,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2024,3.39586645454844,BRA
Brazil,FP.CPI.TOTL.ZG,2024,4.36746407652337,BRA
Brazil,SL.UEM.TOTL.ZS,2024,7.634,BRA
